"Cognition","Honesty","Communication","Proportion","Rep","Coop_Ewan","Payout"
"Mini","Free","Between",0,1,0.886497064579256,2.78473581213307
"Mini","Free","Between",0,2,0.93158953722334,2.91851106639839
"Mini","Free","Between",0,3,0.904907975460123,2.80265848670757
"Mini","Free","Between",0,4,0.929006085192698,2.92596348884381
"Mini","Free","Between",0,5,0.889432485322896,2.79647749510763
"Mini","Free","Between",0,6,0.900952380952381,2.78666666666667
"Mini","Free","Between",0,7,0.913757700205339,2.79363449691992
"Mini","Free","Between",0,8,0.90978886756238,2.81957773512476
"Mini","Free","Between",0,9,0.923611111111111,2.87996031746032
"Mini","Free","Between",0,10,0.908,2.774
"Mini","Free","Between",0,11,0.923958333333333,2.91875
"Mini","Free","Between",0,12,0.91600790513834,2.83596837944664
"Mini","Free","Between",0,13,0.897859922178988,2.79182879377432
"Mini","Free","Between",0,14,0.921480144404332,2.85740072202166
"Mini","Free","Between",0,15,0.903429602888087,2.85649819494585
"Mini","Free","Between",0,16,0.8798828125,2.7666015625
"Mini","Free","Between",0,17,0.907303370786517,2.8436329588015
"Mini","Free","Between",0,18,0.914915966386555,2.83193277310924
"Mini","Free","Between",0,19,0.921471172962227,2.85984095427435
"Mini","Free","Between",0,20,0.914460285132383,2.81466395112016
"Mini","Free","Between",0,21,0.907949790794979,2.82740585774059
"Mini","Free","Between",0,22,0.918406072106262,2.86148007590133
"Mini","Free","Between",0,23,0.923868312757202,2.91255144032922
"Mini","Free","Between",0,24,0.867219917012448,2.71369294605809
"Mini","Free","Between",0,25,0.919456066945607,2.90481171548117
"Mini","Free","Between",0,26,0.915463917525773,2.83711340206186
"Mini","Free","Between",0,27,0.869918699186992,2.72662601626016
"Mini","Free","Between",0,28,0.90607210626186,2.80645161290323
"Mini","Free","Between",0,29,0.887733887733888,2.74116424116424
"Mini","Free","Between",0,30,0.914807302231237,2.87829614604462
"Mini","Free","Between",10,1,0.894495412844037,2.80183486238532
"Mini","Free","Between",10,2,0.892430278884462,2.85159362549801
"Mini","Free","Between",10,3,0.885294117647059,2.78235294117647
"Mini","Free","Between",10,4,0.904452690166976,2.83116883116883
"Mini","Free","Between",10,5,0.947478991596639,2.9422268907563
"Mini","Free","Between",10,6,0.912121212121212,2.87979797979798
"Mini","Free","Between",10,7,0.906832298136646,2.81987577639752
"Mini","Free","Between",10,8,0.901980198019802,2.82673267326733
"Mini","Free","Between",10,9,0.888421052631579,2.81263157894737
"Mini","Free","Between",10,10,0.880165289256198,2.74586776859504
"Mini","Free","Between",10,11,0.91017316017316,2.83982683982684
"Mini","Free","Between",10,12,0.92638036809816,2.85276073619632
"Mini","Free","Between",10,13,0.913,2.844
"Mini","Free","Between",10,14,0.866141732283465,2.73129921259843
"Mini","Free","Between",10,15,0.91023166023166,2.81081081081081
"Mini","Free","Between",10,16,0.896842105263158,2.81684210526316
"Mini","Free","Between",10,17,0.900952380952381,2.78190476190476
"Mini","Free","Between",10,18,0.887323943661972,2.76056338028169
"Mini","Free","Between",10,19,0.899201596806387,2.82235528942116
"Mini","Free","Between",10,20,0.906066536203522,2.83561643835616
"Mini","Free","Between",10,21,0.894886363636364,2.77651515151515
"Mini","Free","Between",10,22,0.914230019493177,2.84307992202729
"Mini","Free","Between",10,23,0.898773006134969,2.859918200409
"Mini","Free","Between",10,24,0.918346774193548,2.80846774193548
"Mini","Free","Between",10,25,0.9,2.77961165048544
"Mini","Free","Between",10,26,0.895112016293279,2.75560081466395
"Mini","Free","Between",10,27,0.9169921875,2.8486328125
"Mini","Free","Between",10,28,0.909001956947162,2.79745596868885
"Mini","Free","Between",10,29,0.908898305084746,2.77860169491525
"Mini","Free","Between",10,30,0.898305084745763,2.74764595103578
"Mini","Free","Between",20,1,0.892,2.758
