"Cognition","Honesty","Communication","Rounds","Rep","Coop_Ewan","Payout"
"Mini","Free","Gossip",1,1,0.93,2.88
"Mini","Free","Gossip",1,2,0.87,2.74
"Mini","Free","Gossip",1,3,0.88,2.82
"Mini","Free","Gossip",1,4,0.91,2.76
"Mini","Free","Gossip",1,5,0.96,3.14
"Mini","Free","Gossip",1,6,0.9,2.7
"Mini","Free","Gossip",1,7,0.86,2.76
"Mini","Free","Gossip",1,8,0.93,3.15
"Mini","Free","Gossip",1,9,0.94,3.1
"Mini","Free","Gossip",1,10,0.92,3.02
"Mini","Free","Gossip",1,11,0.9,2.97
"Mini","Free","Gossip",1,12,0.92,2.96
"Mini","Free","Gossip",1,13,0.82,2.46
"Mini","Free","Gossip",1,14,0.85,2.6
"Mini","Free","Gossip",1,15,0.91,2.84
"Mini","Free","Gossip",1,16,0.88,2.82
"Mini","Free","Gossip",1,17,0.92,2.86
"Mini","Free","Gossip",1,18,0.94,2.94
"Mini","Free","Gossip",1,19,0.9,2.96
"Mini","Free","Gossip",1,20,0.88,2.89
"Mini","Free","Gossip",1,21,0.89,2.9
"Mini","Free","Gossip",1,22,0.94,2.9
"Mini","Free","Gossip",1,23,0.9,2.7
"Mini","Free","Gossip",1,24,0.94,3
"Mini","Free","Gossip",1,25,0.87,2.78
"Mini","Free","Gossip",1,26,0.89,2.82
"Mini","Free","Gossip",1,27,0.85,2.52
"Mini","Free","Gossip",1,28,0.81,2.44
"Mini","Free","Gossip",1,29,0.92,3.02
"Mini","Free","Gossip",1,30,0.88,2.86
"Mini","Free","Gossip",2,1,0.92,3.015
"Mini","Free","Gossip",2,2,0.875,2.69
"Mini","Free","Gossip",2,3,0.9,2.72
"Mini","Free","Gossip",2,4,0.895,2.75
"Mini","Free","Gossip",2,5,0.82,2.57
"Mini","Free","Gossip",2,6,0.905,2.86
"Mini","Free","Gossip",2,7,0.845,2.555
"Mini","Free","Gossip",2,8,0.895,2.72
"Mini","Free","Gossip",2,9,0.905,2.86
"Mini","Free","Gossip",2,10,0.93,2.94
"Mini","Free","Gossip",2,11,0.81,2.55
"Mini","Free","Gossip",2,12,0.91,2.71
"Mini","Free","Gossip",2,13,0.935,2.815
"Mini","Free","Gossip",2,14,0.87,2.65
"Mini","Free","Gossip",2,15,0.89,2.795
"Mini","Free","Gossip",2,16,0.845,2.6
"Mini","Free","Gossip",2,17,0.93,2.83
"Mini","Free","Gossip",2,18,0.915,2.905
"Mini","Free","Gossip",2,19,0.87,2.685
"Mini","Free","Gossip",2,20,0.89,2.755
"Mini","Free","Gossip",2,21,0.915,2.96
"Mini","Free","Gossip",2,22,0.875,2.815
"Mini","Free","Gossip",2,23,0.91,2.725
"Mini","Free","Gossip",2,24,0.895,2.77
"Mini","Free","Gossip",2,25,0.895,2.86
"Mini","Free","Gossip",2,26,0.94,2.9
"Mini","Free","Gossip",2,27,0.92,2.775
"Mini","Free","Gossip",2,28,0.9,2.745
"Mini","Free","Gossip",2,29,0.9,2.83
"Mini","Free","Gossip",2,30,0.91,2.795
"Mini","Free","Gossip",3,1,0.886666666666667,2.8
"Mini","Free","Gossip",3,2,0.896666666666667,2.81666666666667
"Mini","Free","Gossip",3,3,0.856666666666667,2.71333333333333
"Mini","Free","Gossip",3,4,0.906666666666667,2.86
"Mini","Free","Gossip",3,5,0.94,2.91333333333333
"Mini","Free","Gossip",3,6,0.933333333333333,2.93666666666667
