"Cognition","Honesty","Communication","Rep","Coop_Ewan","Payout"
"Mini","Free","both",1,0.940265487,2.991150442
"Mini","Free","both",2,0.947807933,3.025052192
"Mini","Free","both",3,0.949367089,2.974683544
"Mini","Free","both",4,0.94809322,2.925847458
"Mini","Free","both",5,0.947105788,2.972055888
"Mini","Free","both",6,0.947105788,2.969061876
"Mini","Free","both",7,0.94813278,2.995850622
"Mini","Free","both",8,0.94661191,2.95687885
"Mini","Free","both",9,0.939484127,2.946428571
"Mini","Free","both",10,0.946215139,2.9312749
"Mini","Free","none",1,0.912778905,2.839756592
"Mini","Free","none",2,0.909626719,2.81827112
"Mini","Free","none",3,0.922043011,2.903225806
"Mini","Free","none",4,0.889937107,2.732704403
"Mini","Free","none",5,0.920841683,2.866733467
"Mini","Free","none",6,0.88836773,2.788930582
"Mini","Free","none",7,0.90392157,2.867647059
"Mini","Free","none",8,0.901020408,2.848979592
"Mini","Free","none",9,0.8722334,2.697183099
"Mini","Free","none",10,0.870672098,2.679226069
"Mini","Free","gossip",1,0.884199134,2.813852814
"Mini","Free","gossip",2,0.907992565,2.866171004
"Mini","Free","gossip",3,0.908906883,2.873481781
"Mini","Free","gossip",4,0.916498994,2.879275654
"Mini","Free","gossip",5,0.893700787,2.785433071
"Mini","Free","gossip",6,0.924770642,2.855963303
"Mini","Free","gossip",7,0.923913043,2.895652174
"Mini","Free","gossip",8,0.917808219,2.858121331
"Mini","Free","gossip",9,0.914092664,2.859073359
"Mini","Free","gossip",10,0.907265774,2.86042065
"Mini","Free","between",1,0.926386233,2.954110899
"Mini","Free","between",2,0.92099567,2.875541126
"Mini","Free","between",3,0.94123506,2.962151394
"Mini","Free","between",4,0.93120155,2.938953488
"Mini","Free","between",5,0.947261663,2.984787018
"Mini","Free","between",6,0.936363636,2.939393939
"Mini","Free","between",7,0.935869565,2.941304348
"Mini","Free","between",8,0.930232558,2.888565891
"Mini","Free","between",9,0.947674419,2.992248062
"Mini","Free","between",10,0.935387674,2.922465209
"Mini","Forced","none",1,0.851626016260163,2.67581300813008
"Mini","Forced","none",2,0.911439114391144,2.860701107
"Mini","Forced","none",3,0.891732283464567,2.847440945
"Mini","Forced","none",4,0.891752577319588,2.82886597938144
"Mini","Forced","none",5,0.921814671814672,2.92664092664093
"Mini","Forced","none",6,0.908350305498982,2.79226069246436
"Mini","Forced","none",7,0.89065606361829,2.75745526838966
"Mini","Forced","none",8,0.878,2.715
"Mini","Forced","none",9,0.912955465587044,2.86842105263158
"Mini","Forced","none",10,0.905844155844156,2.83549783549784
"Mini","Forced","gossip",1,0.889002036659878,2.78615071283096
"Mini","Forced","gossip",2,0.929961089494164,2.90661478599222
"Mini","Forced","gossip",3,0.88728323699422,2.79190751445087
"Mini","Forced","gossip",4,0.906976744186046,2.8816067653277
"Mini","Forced","gossip",5,0.904867256637168,2.84845132743363
"Mini","Forced","gossip",6,0.911205073995772,2.90274841437632
"Mini","Forced","gossip",7,0.896749521988528,2.77820267686424
"Mini","Forced","gossip",8,0.910358565737052,2.87350597609562
"Mini","Forced","gossip",9,0.897233201581028,2.77766798418972
"Mini","Forced","gossip",10,0.881656804733728,2.81262327416174
"Mini","Forced","between",1,0.947013487475915,3.01926782273603
"Mini","Forced","between",2,0.921428571428571,2.89795918367347
"Mini","Forced","between",3,0.924897119341564,2.96502057613169
"Mini","Forced","between",4,0.917782026768642,2.91778202676864
"Mini","Forced","between",5,0.935203094777563,2.95841392649903
"Mini","Forced","between",6,0.929012345679012,2.94650205761317
"Mini","Forced","between",7,0.93421052631579,2.9746963562753
"Mini","Forced","between",8,0.94375,2.98541666666667
"Mini","Forced","between",9,0.906873614190687,2.92682926829268
"Mini","Forced","between",10,0.93796992481203,3.0187969924812
"Mini","Forced","both",1,0.93904958677686,2.97830578512397
"Mini","Forced","both",2,0.94558521560575,2.95277207392197
"Mini","Forced","both",3,0.948343079922027,2.98343079922027
"Mini","Forced","both",4,0.946498054474708,3.03210116731517
"Mini","Forced","both",5,0.959143968871595,3
"Mini","Forced","both",6,0.94040404040404,2.98282828282828
"Mini","Forced","both",7,0.936263736263736,2.96483516483516
"Mini","Forced","both",8,0.94,3.012
"Mini","Forced","both",9,0.941584158415842,2.92871287128713
"Mini","Forced","both",10,0.950404858299595,3.02024291497976
"Nano","Free","both",1,0.940545808966862,2.90545808966862
"Nano","Free","both",2,0.917735042735043,2.82692307692308
"Nano","Free","both",3,0.955734406438632,2.97183098591549
"Nano","Free","both",4,0.953191489361702,2.94255319148936
"Nano","Free","both",5,0.945525291828794,2.94163424124514
"Nano","Free","both",6,0.929046563192905,2.88248337028825
"Nano","Free","both",7,0.935714285714286,2.89081632653061
