"Cognition","Honesty","Communication","Population","Rep","Coop_Ewan","Payout"
"Mini","Free","gossip",3,1,0.900406504065041,2.81808943089431
"Mini","Free","gossip",3,2,0.927734375,2.8388671875
"Mini","Free","gossip",3,3,0.917821782178218,2.89009900990099
"Mini","Free","gossip",3,4,0.919449901768173,2.8762278978389
"Mini","Free","gossip",3,5,0.927698574338086,2.91955193482688
"Mini","Free","gossip",3,6,0.904382470119522,2.84462151394422
"Mini","Free","gossip",3,7,0.921314741035856,2.87749003984064
"Mini","Free","gossip",3,8,0.865853658536585,2.67479674796748
"Mini","Free","gossip",3,9,0.918560606060606,2.8844696969697
"Mini","Free","gossip",3,10,0.927855711422846,2.89178356713427
"Mini","Free","gossip",3,11,0.914141414141414,2.85656565656566
"Mini","Free","gossip",3,12,0.912631578947368,2.86315789473684
"Mini","Free","gossip",3,13,0.870408163265306,2.6969387755102
"Mini","Free","gossip",3,14,0.941935483870968,2.92258064516129
"Mini","Free","gossip",3,15,0.905697445972495,2.83104125736739
"Mini","Free","gossip",3,16,0.895748987854251,2.76315789473684
"Mini","Free","gossip",3,17,0.867139959432049,2.70283975659229
"Mini","Free","gossip",3,18,0.899558498896247,2.84437086092715
"Mini","Free","gossip",3,19,0.893700787401575,2.8011811023622
"Mini","Free","gossip",3,20,0.882239382239382,2.72876447876448
"Mini","Free","gossip",3,21,0.909722222222222,2.86309523809524
"Mini","Free","gossip",3,22,0.888888888888889,2.72942386831276
"Mini","Free","gossip",3,23,0.908266129032258,2.80443548387097
"Mini","Free","gossip",3,24,0.90406976744186,2.80523255813953
"Mini","Free","gossip",3,25,0.912447257383966,2.82911392405063
"Mini","Free","gossip",3,26,0.894523326572008,2.75050709939148
"Mini","Free","gossip",3,27,0.910677618069815,2.84188911704312
"Mini","Free","gossip",3,28,0.887527839643653,2.76948775055679
"Mini","Free","gossip",3,29,0.910569105691057,2.85365853658537
"Mini","Free","gossip",3,30,0.88911704312115,2.7864476386037
"Mini","Free","gossip",3,31,0.879,2.742
"Mini","Free","gossip",3,32,0.926977687626775,2.88539553752535
"Mini","Free","gossip",3,33,0.904135338345865,2.83082706766917
"Mini","Free","gossip",3,34,0.906952965235174,2.82106339468303
"Mini","Free","gossip",3,35,0.928879310344828,2.86099137931034
"Mini","Free","gossip",3,36,0.872294372294372,2.77272727272727
"Mini","Free","gossip",3,37,0.907894736842105,2.8087044534413
"Mini","Free","gossip",3,38,0.909774436090226,2.83646616541353
"Mini","Free","gossip",3,39,0.933808553971487,2.92566191446029
"Mini","Free","gossip",3,40,0.89889705882353,2.79595588235294
"Mini","Free","gossip",3,41,0.902061855670103,2.77319587628866
